,unit_name,num_items,tier,placement,game,total_units
0,TFT7_Senna,1,1,2,0,9
1,TFT7_Qiyana,1,2,2,0,9
2,TFT7_Aphelios,2,2,2,0,9
3,TFT7_Aphelios,1,1,2,0,9
4,TFT7_Aphelios,3,2,2,0,9
5,TFT7_Rell,3,2,2,0,9
6,TFT7_Zeri,1,2,2,0,9
7,TFT7_Graves,3,2,2,0,9
8,TFT7_Graves,3,2,2,0,9
9,TFT7_Twitch,2,2,5,0,9
10,TFT7_Rakan,3,2,5,0,9
11,TFT7_Hecarim,1,1,5,0,9
12,TFT7_DragonGold,2,2,5,0,9
13,TFT7_Xayah,3,2,5,0,9
14,TFT7_Shyvana,2,1,5,0,9
15,TFT7_Soraka,0,1,5,0,9
16,TFT7_Malphite,0,2,4,0,9
17,TFT7_Taliyah,1,1,4,0,9
18,TFT7_Sylas,2,3,4,0,9
19,TFT7_Jayce,0,1,4,0,9
20,TFT7_Pantheon,2,2,4,0,9
21,TFT7_Nilah,3,2,4,0,9
22,TFT7_AquaticDragon,2,2,4,0,9
23,TFT7_Bard,1,1,4,0,9
24,TFT7_Senna,1,1,3,0,8
25,TFT7_Aphelios,3,2,3,0,8
26,TFT7_Aphelios,1,1,3,0,8
27,TFT7_Rell,2,2,3,0,8
28,TFT7_Zeri,0,2,3,0,8
29,TFT7_Rengar,1,2,3,0,8
30,TFT7_Hecarim,3,2,3,0,8
31,TFT7_Graves,3,2,3,0,8
32,TFT7_Zyra,3,2,8,0,7
33,TFT7_Jax,3,2,8,0,7
34,TFT7_Lux,2,2,8,0,7
35,TFT7_Lillia,1,2,8,0,7
36,TFT7_Sylas,2,2,8,0,7
37,TFT7_NomsyEvoker,1,2,8,0,7
38,TFT7b_Lulu,0,2,8,0,7
39,TFT7_Leona,0,2,1,0,9
40,TFT7_Sejuani,0,2,1,0,9
41,TFT7_Yone,1,2,1,0,9
42,TFT7_Nunu,2,2,1,0,9
43,TFT7_Hecarim,1,1,1,0,9
44,TFT7_DragonBlue,3,2,1,0,9
45,TFT7_Yasuo,3,2,1,0,9
46,TFT7_Soraka,0,1,1,0,9
47,TFT7_Sett,0,1,6,0,8
48,TFT7_Twitch,2,2,6,0,8
49,TFT7_Rakan,0,2,6,0,8
50,TFT7_DragonGuild,0,1,6,0,8
51,TFT7_Hecarim,1,2,6,0,8
52,TFT7_Xayah,3,2,6,0,8
53,TFT7_Jayce,3,2,6,0,8
54,TFT7_Ezreal,0,1,7,0,8
55,TFT7_Twitch,1,2,7,0,8
56,TFT7_Varus,0,1,7,0,8
57,TFT7_Rakan,2,2,7,0,8
58,TFT7_DragonGold,3,2,7,0,8
59,TFT7_Xayah,3,2,7,0,8
60,TFT7_Jayce,1,1,7,0,8
61,TFT7_Twitch,3,2,1,1,9
62,TFT7_Rakan,0,2,1,1,9
63,TFT7_Hecarim,2,2,1,1,9
64,TFT7_Xayah,3,3,1,1,9
65,TFT7_Jayce,1,2,1,1,9
66,TFT7_Bard,0,2,1,1,9
67,TFT7_Shyvana,3,2,1,1,9
68,TFT7_Soraka,0,1,1,1,9
69,TFT7_Senna,1,1,3,1,9
70,TFT7_Aphelios,2,1,3,1,9
71,TFT7_Aphelios,3,2,3,1,9
72,TFT7_Aphelios,2,2,3,1,9
73,TFT7_Aphelios,1,1,3,1,9
74,TFT7_Rell,2,2,3,1,9
75,TFT7_Zeri,2,2,3,1,9
76,TFT7_Hecarim,1,1,3,1,9
77,TFT7_Graves,3,2,3,1,9
78,TFT7_Leona,0,2,7,1,8
79,TFT7_Sejuani,0,2,7,1,8
80,TFT7_Yone,0,2,7,1,8
81,TFT7_Nunu,3,2,7,1,8
82,TFT7_Hecarim,2,1,7,1,8
83,TFT7_DragonBlue,3,1,7,1,8
84,TFT7_Yasuo,2,1,7,1,8
85,TFT7_Sett,1,2,6,1,8
86,TFT7_Karma,0,2,6,1,8
87,TFT7_Sejuani,0,1,6,1,8
88,TFT7_Kaisa,0,2,6,1,8
89,TFT7_Nunu,3,2,6,1,8
90,TFT7_LeeSin,0,2,6,1,8
91,TFT7b_Volibear,3,2,6,1,8
92,TFT7_Yasuo,3,2,6,1,8
93,TFT7_Yone,0,2,2,1,8
94,TFT7_Nunu,2,2,2,1,8
95,TFT7_Hecarim,2,2,2,1,8
96,TFT7_DragonBlue,3,2,2,1,8
97,TFT7_Nilah,3,2,2,1,8
98,TFT7_Yasuo,3,2,2,1,8
99,TFT7_Soraka,2,2,2,1,8
100,TFT7_Aphelios,3,2,5,1,8
101,TFT7_Rell,2,2,5,1,8
102,TFT7_Zeri,1,1,5,1,8
103,TFT7_LeeSin,2,2,5,1,8
104,TFT7_Rengar,3,2,5,1,8
105,TFT7_Graves,3,2,5,1,8
106,TFT7_AoShin,0,1,5,1,8
107,TFT7_Sejuani,1,2,4,1,9
108,TFT7_Senna,1,1,4,1,9
109,TFT7_Aphelios,1,2,4,1,9
110,TFT7_Aphelios,3,2,4,1,9
111,TFT7_Rell,1,2,4,1,9
112,TFT7_Zeri,0,2,4,1,9
113,TFT7_Hecarim,2,1,4,1,9
114,TFT7_Graves,3,2,4,1,9
115,TFT7_Yasuo,1,1,4,1,9
116,TFT7_Sejuani,0,1,8,1,8
117,TFT7_Senna,0,2,8,1,8
118,TFT7_Rakan,0,2,8,1,8
119,TFT7_Hecarim,0,1,8,1,8
120,TFT7_Graves,3,2,8,1,8
121,TFT7_Jayce,3,2,8,1,8
122,TFT7_Shyvana,3,1,8,1,8
123,TFT7_Sejuani,0,1,6,2,8
124,TFT7_Twitch,1,2,6,2,8
125,TFT7_Rakan,0,2,6,2,8
126,TFT7_Hecarim,0,2,6,2,8
127,TFT7_DragonGold,3,2,6,2,8
128,TFT7_Xayah,3,2,6,2,8
129,TFT7_Yasuo,3,2,6,2,8
130,TFT7_Malphite,1,2,1,2,8
131,TFT7_Zyra,1,1,1,2,8
132,TFT7_Sylas,3,2,1,2,8
133,TFT7_Seraphine,0,2,1,2,8
134,TFT7_Nilah,3,2,1,2,8
135,TFT7_AquaticDragon,3,3,1,2,8
136,TFT7_Zoe,3,2,1,2,8
137,TFT7_Senna,1,1,4,2,8
138,TFT7_Aphelios,3,2,4,2,8
139,TFT7_Rell,2,2,4,2,8
140,TFT7_Rengar,3,3,4,2,8
141,TFT7_NomsyCannoneer,1,1,4,2,8
142,TFT7_Hecarim,3,2,4,2,8
143,TFT7_Graves,3,2,4,2,8
144,TFT7b_Tristana,0,1,4,2,8
145,TFT7_Sejuani,0,2,8,2,8
146,TFT7_Twitch,0,2,8,2,8
147,TFT7_Varus,1,1,8,2,8
148,TFT7_Rakan,2,2,8,2,8
149,TFT7_Xayah,3,2,8,2,8
150,TFT7_Jayce,0,1,8,2,8
151,TFT7_Shyvana,3,1,8,2,8
152,TFT7_Sejuani,0,2,7,2,8
153,TFT7_Yone,0,1,7,2,8
154,TFT7_Nunu,2,2,7,2,8
155,TFT7_Hecarim,1,1,7,2,8
156,TFT7_DragonBlue,3,2,7,2,8
157,TFT7_Jayce,3,2,7,2,8
158,TFT7_Yasuo,3,1,7,2,8
159,TFT7_Sejuani,1,2,5,2,9
160,TFT7_Yone,3,2,5,2,9
161,TFT7_Lillia,1,2,5,2,9
162,TFT7_Nunu,1,2,5,2,9
163,TFT7_Hecarim,1,1,5,2,9
164,TFT7_DragonBlue,3,2,5,2,9
165,TFT7_Yasuo,3,1,5,2,9
166,TFT7_Soraka,0,1,5,2,9
167,TFT7_Malphite,0,1,2,2,9
168,TFT7_Braum,0,2,2,2,9
169,TFT7_Rakan,0,1,2,2,9
